prompt,response
" Look, I brought your damn file. You take it and go.  Whatever was in here, he wanted no part of it. "," Clearly, you're waiting for someone else. Yeah? Supposed to meet somebody here?"
 Yeah. ," Mrs. Davis, your son didn't kill himself, I guarantee you. He didn't kill anyone. Someone used him."
 What?, As a weapon.
" Deputy, get this woman and... "," Hey hot wings, you wanna party? You and me, let's go.  Crazy, huh?"
 Yeah.," Watch this.   You walked right into this one, I've dated hotter chicks than you. "
 That's all you got? Cheap trick and a cheesy one-liner?," Sweetheart, that could be the name of my autobiography.  "
" Oh. No, no. I think he was trying to say, ""I want my god damn file."""," It's not your fault, kid. Remember what I told you about bullies.  Do you like that, Westworld? That's the thing about smart guys, we always cover our ass. "
 You're welcome, For what? Did I miss something?
 Me saving your life," Yeah. A, saved you first. B, thanks, sort of. And C, if you do someone a solid, don't be a yutz, alright? Just play it cool otherwise you come off grandiose."
" Unlike you? Admit it, you need me. We're connected."," What I need is for you to go home, be with your mom, keep your trap shut, guard the suit and stay connected to the telephone because if I call, you better pick up. Okay, can you feel that? We're done here. Move it out the way or I'm going to run you over. Bye kid.  I'm sorry, kid, you did good."
" So now you're just going to leave me here, like my dad?"," Yep  Wait, you're guilt tripping me, aren't you?"
  I'm cold.,  I can tell. You know how I can tell? Cus we're connected. 
" Yes, sir."," Man. Happy, Happy, Happy-"
 Don't move! (His phone rings.) Uh... Hang on a second. Hello?," You ever have a chick straddling you and you look up and suddenly she's glowing from the inside out, kind of a bright orange?"
" Yeah, I've had that. Who is this?"," It's me, pal. Now, last time I went missing, if I remember correctly, you came looking for me. What are you doing?"
" A little knock-and-talk, making friends in Pakistan. What are you doing?"," Your redesign, your big rebrand, that was AIM, right?"
 Yeah.," I'm gonna find a heavy-duty comm sat right now, I need your login."
" It's the same as it's always been, ""WarMachine68."""," And password, please."
" Well, look, I gotta change it every time you hack in, Tony."," It's not the '80s, nobody says ""hack"" any more. Give me your login. (Rhodey sighs.)"
" ""WAR MACHINE ROX"" with an ""X,"" all caps."," (He's laughing.) That is so much better than ""lron Patriot."""
 Because you erase my shows!, That ain't gonna cut it.
" We talked about this. Excuse me, sir. I don't know who... (Tony turns around.)", Shh.
" Mom, I need to call you back. Something magical is happening. Tony is in my van.", Shh. Keep it down.
 Tony is in my van!," No, he's not."
 I knew you were still alive!, Come on in. Close the door. (The cameraman gets in the van & closes the door.) Shh...
" Oh, wow. Can I just say, sir...", Yep.
 I am your biggest fan.," Okay. First, is this your van? Is anyone else gonna come in?"
" No, no, no. Just us.", Great. What's your name?
 Gary, Gary?
" Oh, wow.", Right there is fine.
 Okay.," Okay? I get a lot of this, it's okay."
" Oh, good. Can I just say?", What do you want?
" Yeah. I don't know if you can tell, but I have, like, patterned my whole look after you. My hair's a little...", It's fine.
" It's not right, 'cause there's no product in it.", Right.
" I don't want to make things awkward for you, but I do have to show you... Boom!", A Hispanic Scott Baio. I'm sorry. Is that me?
" Yeah. It's... I mean... I had them do it off a doll that I made, so it's not like it's off a picture. So it's a little bit..."," Gary. Listen to me, okay? I don't want to clip your wings, here. We're both a little over-excited. I got an issue. I'm chasing bad guys. I'm trying to grab a little something from some hard-crypt data files. I don't have enough juice. I need you to jump on the roof... Right? Recalibrate the lSDNs. Pump it up by about 40%."
 Got it., All right? It's a mission.
 Yeah., Tony needs Gary.
 And Gary needs Tony., Be quiet about it. Go.
" Okay. So, the injections are administered periodically. Addiction will not be tolerated. And those who cannot regulate will be out from the programme. (More typing, another video.) Once misfits, cripples... You are the next iteration of human evolution. Everybody, before we start... I promise you, looking back at your life, there will be nothing as bitter as the memory of that glorious risk you prudently elected to forego. Today is your glory- Let's begin. (Brandt's missing arm grows back as she glows red. The other volunteers glow red & scream too.) We gotta get out of here! We gotta get out of here! Get her out! Get them out of here! (One of the volunteers exploads.)"," (He's muttering.) A bomb is not a bomb when it's a misfire. The stuff doesn't always work. Right, pal? It's faulty, but you found a buyer, didn't you? Sold it to the Mandarin. Got you, pal."
" That's the plan, Colonel."," Harley, tell me what's happening. Give me a full report."
" Yeah, I'm still eating that candy. Do you want me to keep eating it?", How much have you had?
 Two or three bowls., Can you still see straight?
 Sort of.," That means you're fine. Give me Jarvis. Jarvis, how are we?"
" It's totally fine, sir. I seem to do quite well for a stretch, and then at the end of the sentence I say the wrong cranberry. And, sir, you were right. Once I factored in available AIM downlink facilities I was able to pinpoint the Mandarin's broadcast signal."," What are we talking? Far East, Europe, North Africa, Iran, Pakistan, Syria? Where is it?"
" Actually, sir, it's in Miami."," Okay, kid, I'm gonna have to walk you through rebooting Jarvis's speech drive, but not right now. Harley, where is he really? Just look on the screen and tell me where it is."
" Um, it does say Miami, Florida."," Okay, first things first, I need the armour. Where are we at with it?"
" Actually, sir, it is charging, but the power source is questionable. It may not succeed in revitalising the Mark 42."," What's questionable about electricity? All right? It's my suit, and I can't... I'm not gonna... I don't wanna...  Oh, God, not again."
 Tony?  Are you having another attack? I didn't even mention New York.," Right, and then you just said it by name while denying having said it."
" Okay, um, uh...","  God, what am I gonna do?"
" Just breathe. Really, just breathe. You're a mechanic, right?", Right.
 You said so.," Yes, I did."
 Why don't you just build something?," Okay. Thanks, kid.     "
" They're made by Americans, based on a Japanese recipe.", Hey! 
 Bloody hell. Bloody hell., Don't move.
 I'm not moving. You want something? Take it. Although the guns are all fake because those wankers wouldn't trust me with the real ones., What?
" Hey, do you fancy either of the birds?"," Heard enough. You're not him. The Mandarin, the real guy. Where? Where's the Mandarin? Where is he?"
" Whoa, whoa, whoa. He's here. He's here, but he's not here. He's here, but he's not here.", What do you mean?
" It's complicated. Hey, it's complicated.", It is?
 It's complicated.," Uncomplicate it. Ladies, out. Get out of the bed. Get into the bathroom. Sit. "
 My name is Trevor. Trevor Slattery.," What are you? What are you, a decoy? You're a double, right?"
" What, you mean like an understudy? No, absolutely not.  Don't hurt the face! I'm an actor.", You got a minute to live. Fill it with words.
" It's just a role. ""The Mandarin,"" see, it's not real."," Then how did you get here, Trevor?"
" Um. Well, I, um, had a little problem with, um, substances. And I ended up, um, doing things, no two ways about it, in the street, that a man shouldn't do.", Next?
" Then, they approached me about the role, and they knew about the drugs.", What did they say? They'd get you off them?
 They said they'd give me more. They gave me things. They gave me this palace. They gave me plastic surgery. They gave me things. , Did you just nod off? Hey. 
" No, and a lovely speedboat. And the thing was, he needed someone to take credit for some accidental explosions. "," ""He""? Killian?"
 Killian., He created you?
 He created me., Custom-made terror threat.
" Yes. Yes. His think tank thinked it up. The pathology of a serial killer. The manipulation of Western iconography. Ready for another lesson? Blah, blah, blah. No. Of course, it was my performance that brought the Mandarin to life.", Your performance? Where people died?
" No, they didn't. Look around you. The costumes, green screen. Honestly, I wasn't on location for half this stuff. And when I was, it was movie magic, love."," I'm sorry, but I got a best friend who's in a coma and he might not wake up. So you're gonna have to answer for that. You're still going down, pal. You under... "
" Well, I panicked, but then I handled it.", Ah...  Okay.
" It's just like old times, huh?"," Oh, yeah. With zip ties. It's a ball."
 It wasn't my idea., Okay. So you took Killian's card.
 I took his money.," And here you are 13 years later, in a dungeon."
 No., Yeah.
" No, you're in a dungeon. I'm free to go.", Yeah?
"  A lot has happened, Tony. But I'm close. Extremis is practically stabilised.","  I'm telling you it isn't.  I'm on the street. People are going bang. They're painting the walls. Maya, you're kidding yourself."
 Then help me fix it. , Did I do that?
 Yes.," I remember the night, not the morning. Is this what you've been chasing around?"
 You don't remember?, I can't help you. You used to have a moral psychology. You used to have ideals. You wanted to help people. Now look at you. I get to wake up every morning with someone who still has their soul. Get me out of here. Come on.
" You know what my old man used to say to me? One of his favourite of many sayings... ""The early bird gets the worm, but the second mouse gets the cheese."""," You're not still pissed off about the Switzerland thing, are you?"
" How can I be pissed at you, Tony? I'm here to thank you. You gave me the greatest gift that anybody's ever given me. Desperation. If you think back to Switzerland, you said you'd meet me on the rooftop, right? Well, for the first 20 minutes, I actually thought you'd show up. And the next hour... I considered taking that one-step shortcut to the lobby. If you know what I mean."," Honestly, I'm still trying to figure out what happened to the first mouse."
" But as I looked out over that city, nobody knew I was there, nobody could see me, no one was even looking. I had a thought that would guide me for years to come. Anonymity, Tony. Thanks to you, it's been my mantra ever since. Right? You simply rule from behind the scenes. Because the second you give evil a face, a bin Laden, a Gaddafi, a Mandarin, you hand the people a target.", You're something else.
" You have met him, I assume?", Yes. Sir Laurence Oblivier.
" I know he's a little over the top sometimes. It's not entirely my fault. He has a tenden... He's a stage actor. They say his Lear was the toast of Croydon, wherever that is. Anyway, the point is, ever since that big dude with the hammer fell out of the sky, subtlety has kind of had its day.", What's next for you in your world?
" The good news is, a high-level position has just been vacated.", You are a maniac.
" You're not going deaf, are you?","  Careful, there. It's a limited edition. Hey, uh, Ponytail Express. What's the mileage count between Tennessee and Miami?"
iron man, Very nice.
iron man," Break it, you bought it."
iron man," Okay, that wasn't mine to give away. That belongs to my friend's sister. And that's why I'm gonna kill you first."
iron man, You'll see.
" It's a glorious day, Savin. This time tomorrow, I'll have the West's most powerful leader in one hand, and the world's most feared terrorist in the other. I'll own the war on terror. Create supply and demand. For you, for your brothers and sisters."," Trust me, you're gonna be in a puddle of blood on the ground in five, four, three... Come on! Two..."
iron man," All right, I'm gonna give you a chance to escape. Put down your weapons. Tie yourselves to those chairs. I'll let you live. In five, four, bang!"
iron man, You should be gone by now. You should've already been gone.
iron man," Here it comes. Three, four..."
iron man,"  Five, four, three, two, one!  Told you. Where's the rest?  Where's the rest?  "
" Honestly, I hate working here. They are so weird. "," Ah! Better late than never.  Not this time. Not the face. Phew! It's good to be back. Hello, by the way."
"  All personnel, Stark is loose and somewhere in the compound. Repeat, Stark is loose and somewhere in the compound."," Ah! Let's go!  Aw, crap."
 Tony?," Rhodey, tell me that was you in the suit."
 No. You got yours'?," Uh... Mmm. Kind of. Main house, as fast as you can. There's somebody I'd like you to meet."
" You, you, you! Move! Get out!",  The room is secure. I have eyes on the Mandarin.
 What's this? I had winners. , What have you come as?
" You make a move, and I break your face.",I never thought people had been hurt. They lied to me.
 This is the Mandarin?,"Yeah, I know, it's... It's embarrassing."
" Hi, Trevor. Trevor Slattery. I know I'm shorter in person. A bit smaller. Everyone says that. But, um, hey, if you're here to arrest me, there's some people I'd like to roll on.","Here's how it works, Meryl Streep."
" Doing what? Ow, I get it! Ow! That hurt. I get it! I get it! I don't know about any Pepper, but I know about the plan.", Spill.
 Do you know what they did to my suit?, What? No. But I do know it's happening off the coast. Something to do with a big boat. I can take you there.
" Tony, I swear to God, I'm gonna blow his face off."," Oh, and this next bit may include the vice president as well. Is that... Is that important?"
" Yeah, a little bit.", So?
" What are we gonna do? I mean, we don't have any transport."," Right.  Hey, Ringo. Didn't you say something about a ""lovely speedboat""? If he's right about the location, we're 20 minutes from where Pepper is."
" But we also have to figure out this vice president thing, right?", Right. I wonder who I'm calling right now. Oh! That's the vice president.
 Thanks. Hello?," Sir, this is Tony."
 Welcome back to the land of the living., We believe you're about to be drawn into the Mandarin campaign. We gotta get you somewhere safe as soon as possible.
" Sir, I have an update from Malibu. The cranes have finally arrived, and the cellar doors are being cleared as we speak.", And what about the suit I'm wearing?
 The armour is now at 92%., That's going to have to do.
 Let us out! , The President. Now.
" He's not here.  Try the jet stream? Speaking of which, go fish. "," Walk away from that, you son of a bitch.  How many in the air?"
" Thirteen, sir.", How many can I carry?
" Four, sir."," Slow down. Slow down, relax. What's your name? Heather?"
"  Oh, God! No! No!"," Listen to me. See that guy? I'm gonna swing by, you're just gonna grab him. You got it?"
 What? Oh!," I'll electrify your arm, you won't be able to open your hand. We can do this, Heather. Easy, see? Eleven more to go. Remember that game called Barrel of Monkeys? That's what we're going to do."
" 18,000 feet."," Come on, people. Everybody, grab your monkey. Nice."
" 10,000 feet. 6,000 feet."," Come on, people. Come on, come on, come on! Yeah!"
" 1, 000 feet. 400 feet. 200 feet, sir."," He's a chunky monkey, let's get him. Hello. "
 We made it!," Nice work, guys! Excellent. Good team effort all around. Go us. All right, Jarvis. But it's only half-done. We've still got to get Pepper...  That came out of nowhere. Wow "
" Give me some good news, man.", I think they all made it.
" Oh, thank God."," Yeah, but I missed the president."
" You couldn't save the president with the suit, how are we gonna save Pepper with nothing?"," Uh... Say, Jarvis, is it that time?"
" The House Party Protocol, sir?", Correct.
"  Come on. You're not gonna freak out on me, right?", I hope not.
" Oh, my God.  He's strung up over the oil tanker. They're gonna light him up, man.", Viking funeral. Public execution.
 ls your gun up?, Yep. What do I do?
" Stay on my six, cover high and don't shoot me in the back."," Six, high, back. Alright.  You see that? Nailed it."
" Yeah, you really killed the glass.", You think I was aiming for the bulb? You can't hit a bulb at this distance. 
"  I repeat, hostiles on east unit 12.", I'm out. Give me. You got extra magazines?
" They're not universal, Tony."," I know what I'm doing, I make this stuff. Give me another one."
 Okay, Give me one of yours.
 I don't have one that fits that gun.," You've got, like, five of them. Here's what I'm going to do. Save my spot, ready?"
 What'd you see?," Too fast. Nothing. Here we go.  Three guys, one girl, all armed."
" God, I would kill for some armour right now.", You're right. We need backup.
" Yeah, a bunch.", You know what? 
 Is that...?, Yep.
 Are those...?," Yeah.  Merry Christmas, buddy. JARVIS, target Extremis heat signatures. Disable with extreme prejudice."
"  Yes, sir.", What are you waiting for? It's Christmas. Take them to church.
 Gentlemen. ," Incoming! Jarvis, get Igor to steady this thing. "
" This is how you've been managing your down time, huh?"," Everybody needs a hobby. Heartbreaker, help Red Snapper out, will you?  Nice timing."
" Oh, yeah. That's awesome. Give me a suit, okay?"," Oh, I'm sorry, they're only coded to me."
 What does that mean?, I got you covered.
" Sir, I've located Ms Potts.", About time.
  Stop! Put it down. Put it down. Put it down., See what happens when you hang out with my ex-girlfriends?
 You're such a jerk.," Yep. We'll talk about it over dinner.  Come on. A little more, baby. "
 She's watching. I think you should close your eyes. Close your eyes. Close your eyes. You don't want to see this. ," Yeah, you take a minute.  Jarvis, give me a suit right now!  Oh, come on!"
" Mr President! Just hold on, all right? I'm coming. Just hold on. Hold on.  Oh, kay. Bye-bye. Brace yourself. You look damn good, Mr President, but I'm gonna need that suit back. The President is secure, Tony. I'm clearing the area.", Nice work.
" What do you mean ""ready""? "," Pep, I got you. Relax, I got you. Just look at me! Honey, I can't reach any further and you can't stay there. All right? You've got to let go. You've got to let go! I'll catch you, I promise. No! "
 A shame. I would've caught her. , Eject. 
" Mark 42, inbound.", I'll be damned. The prodigal son returns.  Whatever.
" You really didn't deserve her, Tony. It's a pity. I was so close to having her perfect."," Okay, okay, wait, wait, wait! Slow down! Slow down! You're right. I don't deserve her. Here's where you're wrong. She was already perfect.  Jarvis, do me a favour and blow Mark 42."
"  No!  No more false faces. You said you wanted the Mandarin. You're looking right at him. It was always me, Tony. Right from the start. *I AM THE MANDARIN!!!* "," I got nothing.  Jarvis, subject at my 12 o'clock is not a target, disengage! What? Oh, what, are you mad at me?  Honey?"
" Oh, my God. That was really violent.", You just scared the devil out of me. I thought you were...
 I was dead. Why? Because I fell 200 feet? Who's the hot mess now?, It's still debatable. Probably tipping your way a little bit. Why don't you dress like this at home? Hmm? Sport bra. The whole deal.
" You know, I think I understand why you don't want to give up the suits. What am I going to complain about now?"," Well, it's me. You'll think of something. Come here."
" No, don't touch me.", Don't worry about it.
" No, I'm gonna burn you."," No, you're not. Not hot."
 Am I gonna be okay?," No. You're in a relationship with me. Everything will never be okay. But I think I can figure this out, yeah. I almost had this 20 years ago when I was drunk. I think I can get you better. That's what I do. I fix stuff."
 And all your distractions?, Uh... I'm going to shave them down a little bit. Jarvis. Hey.
" All wrapped up here, sir. Will there be anything else?", You know what to do.
" The Clean Slate Protocol, sir?"," Screw it, it's Christmas. Yes, yes.  Okay, so far? Do you like it?"
"  No, look."," To be able to share all my intimate thoughts and my experiences with someone, it just cuts the weight of it in half. You know, it's like a snake swallowing its own tail. Everything comes full circle.  And the fact that you've been able to -help me process...  Are you with me?"
" Sorry... I was, yeah. We were at, uh...", Are you actively napping?
  I was... I... I drifted., Where did I lose you?
 Elevator in Switzerland.," So, you heard none of it?"
 I'm sorry. I'm not that kind of doctor. I'm not a therapist. It's not my training., So?
 I don't have the..., What? The time?
 Temperament.," You know what? Now that I think about it... Oh! God, my original wound. 1983, all right?"
 Yes.," I'm 14 years old, I still have a nanny. That was weird."
  Report to your stations immediately. This is not a drill. We are under attack. We are under attack. ,  Shit!
  Yeah. I think we lost the element of surprise.," Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
" Sir, the city is taking fire."," Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
"  Stark, we really need to get inside."," I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
 There's a particle wave below the north tower.," Great, I wanna poke it with something.  Drawbridge is down, people."
 Find the scepter. ," And for gosh sake, watch your language!"
  That's not going away anytime soon.," Guys, stop, we gotta talk this through.  It was a good talk."
 No it wasn't.," Sentry mode.  Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
" Then get to Banner, time for a lullaby."," I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick."
 The wall to your left...I'm reading steel reinforcement... and an air current.,"  Please be a secret door, please be a secret door, please be a secret door...  Yay! "
" Guys, I got Strucker."," Yeah, I got... something bigger.  Thor, I got eyes on the prize."
" The gates of Hel are filled with the screams of his victims.  Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout."," Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?"
" Uh, yeah, she knows her way around."," Thanks.  Tell her to prep everything, Barton's gonna need the full treatment."
 Very good sir.," JARVIS, take the wheel."
" Yes, sir. Approach vector is locked.","  It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but..."
 As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?," Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?  I mean, just a few days until the farewell party. You're staying right?"
" Yes, yes, of course. A victory should be honored with revels.", Yeah. Who doesn't love revels. Captain?
" Lab's all set up, boss.","  Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler."
  How's he doing?," Oh, unfortunately, he's still Barton."
 That's terrible.," He's fine. He's thirsty.  Alright. Look alive, JARVIS. It's play time. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis."
 The scepter is alien. There are elements I can't quantify., So there's elements you can.
 The jewel appears to be a protective housing for something inside. Something powerful., Like a reactor?
" If you brought him to my lab, the regeneration Cradle could do this in twenty minutes."," Oh, he's flatlining. Call it. Time?"
" No, no, no. I'm going to live forever. I'm gonna be made of plastic.",  Here's your beverage.
" That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust."," Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday."
 What's the rumpus?," Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside-- You may recognize, "
 Doctor.," Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper."
 Oh?, Top of the line.
 I suspect not for long., Meet the competition. 
 It's beautiful.," If you had to guess, what's it look like it's doing?"
" Like it's thinking. I mean this could be a... it's not a human mind, it...", Um-um.
" I mean, look at this! They're like neurons firing."," Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but... I gotta guess he was knocking on a very particular door."
 Artificial intelligence.," This could be it, Bruce. This could be the key to creating Ultron."
 I thought Ultron was a fantasy.," Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol."
 That's a mad-sized if.," Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA."
" Don't hate, I helped design VERONICA."," As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?"
 The only people threatening the planet would be people?," I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days."
 So you're going for artificial intelligence and you don't want to tell the team.," Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world."
" Sounds like a cold world, Tony."," I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that.  What did we miss?"
" I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments."," Thanks, buddy."
" Enjoy yourself, sir.", I always do. 
 I don't get it. The mission. G-give me a second. , Peace in our time.
" Quality save. So, no Pepper? She's not coming?", No.
" Hey, what about Jane? Where are the ladies, gentlemen?"," Well, Miss Potts has a company to run."
" Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer.", And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.
" Well please, be my guest.", Come on.
 Oh this is gonna be beautiful.," Clint, you've had a tough week, we won't hold it against you if you can't get it up. "
" You know I've seen this before, right?  I still don't know how you do it.", Smell the silent judgment?
 Um-hmm., Never one to shrink from an honest challenge.
 Here we go., It's physics.
 Physics!," Right, so, if I lift it, I...I then rule Asgard?"
" Yes, of course.", I will be re-instituting Prima Nocta.  I'll be right back. 
 Are you even pulling?, Are you on my team?
 Just represent! Pull!," Alright, let's go! "
 Huh?," Let's go, Steve, no pressure."
 Nothing., And?
" Oh, no no. That's not a question I need answered."," All deference to the man who wouldn't be king, but it's rigged."
  Did you tell everyone about that?," The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?"
 Stark., JARVIS.
" I'm sorry, I was asleep. Or... I was a-dream?","  Reboot, Legionnaire OS, we got a buggy suit."
 We are here to help.," One sec, one sec I got this!"
  It's unsafe. It's unsafe. It's unsafe., Come on! That's the one!
 But there wasn't anyone else in the building., Yes there was.
" Woah, woah, woah! It's going around.","  Come on. Use your words, buddy."
 You think this is funny?," No. It's probably not, right? Is this very terrible? Is it so... is it so... it is. It's so terrible."
 This could've been avoided if you hadn't played with something you don't understand.," No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this."
" Tony, maybe this might not be the time to--"," Really?! That's it? You just roll over, show your belly, every time somebody snarls."
 Only when I've created a murder bot., We didn't. We weren't even close. Were we close to an interface?
" Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD.", Anybody remember when I carried a nuke through a wormhole?
" No, it's never come up.", Saved New York?
 Never heard that.," Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's... that's the end game. How were you guys planning on beating that?"
 Together., We'll lose.
 Girlfriend. , What's this?
 A message. Ultron killed Strucker.," And he did a Banksy at the crime scene, just for us."
" Yeah, I bet he...  Yep. Everything we had on Strucker has been erased.", Not everything.
" Well, these people are all horrible."," Wait. I know that guy.  From back in the day. He operates off the African coast, black market arms.  There are conventions, alright? You meet people, I didn't sell him anything.  He was talking about finding something new, a game changer, it was all very ""Ahab."""
  What's this?," Uh, it's a tattoo. I don't think he had it..."
 Wakanada...? Wa...Wa...Wakanda., If this guy got out of Wakanda with some of their trade goods...
 I don't follow. What comes out of Wakanda?,  The strongest metal on earth.
" What?! I'm not...!  I'm not. You think I'm one of Stark's puppets, his hollow men? I mean look at me, do I look like Iron Man? Stark is  I'm sorry. I am sor-- Ooh, I'm sure that's going to be okay. I'm sorry, it's just I don't understand. Don't compare me with Stark! It's a thing with me. Stark is, he's a sickness!"," Ahh, Junior.  You're gonna break your old man's heart."
 Clearly you've never made an omelet., He beat me by one second.
" Ah, this is funny, Mr. Stark. It's what, comfortable? Like old times?", This was never my life.
 I think you're confusing peace with quiet., Yuh-huh. What's the Vibranium for?
" Ah, the Vibranium's getting away.", And you're not going anywhere.
" Of course not, I'm already there. You'll catch on. But first, you might need to catch Dr. Banner."," News or footage, keyword: Hulk.  Natasha, I could really use a lullaby."
" Well, that's not gonna happen. Not for a while. The whole team is down, you got no back up here."," I'm calling in VERONICA.  Alright everybody, stand down!  You listening? That little witch is messing with your mind. You're stronger than her, you're smarter than her, you're Bruce Banner."
iron man," Right, right, right! Don't mention puny Banner.  Okay.  In the back? Dick move, Banner.  VERONICA, gimme a hand.  Go to sleep, go to sleep, go to sleep!  Okay, pal, we're gonna get you out of town.  No, not that way, not that way!  Come on, Bruce! You gotta work with me!  Everybody out! Going to get ugly!  I'm sorry.  Damage report.  That's comprehensive. Show me something.  How quickly can we buy this building? "
" The news is loving you guys. Nobody else is. There's been no official call for Banner's arrest, but it's in the air.", Stark Relief Foundation?
 Already on the scene. How's the team?, Everyone's...we took a hit. We'll shake it off.
" Well for now I'd stay in stealth mode, and stay away from here."," So, run and hide?"
" Until we can find Ultron, I don't have a lot else to offer."," Neither do we.  Hey, you wanna switch out?"
" No, I'm good. If you wanna get some kip, now's a good time, cause we're still a few hours out.", A few hours from where?
 What is this place?, A safe house?
 Hey.,  This is an agent of some kind.
" Hi, sweetheart!  Hey, buddy! How you guys doing? Ooh...",  These are...smaller agents.
 Sorry for barging in on you.," Yeah, we would have called ahead, but we were busy having no idea that you existed."
" What, so we disappear?", Thor didn't say where he was going for answers?
 Sometimes my teammates don't tell me things. I was kind of hoping Thor would be the exception.," Yeah, give him time. We don't know what the Maximoff kid showed him."
" ""Earth's Mightiest Heroes."" Pulled us apart like cotton candy.", Seems like you walked away all right.
 Is that a problem?, I don't trust a guy without a dark side. Call me old fashioned.
 Well let's just say you haven't seen it yet.," You know Ultron is trying to tear us apart, right?"
 Well I guess you'd know. Whether you tell us is a bit of a question., Banner and I were doing research.
 That would affect the team.," That would end the team. Isn't that the mission? Isn't that the ""why"" we fight, so we can end the fight, so we get to go home?"
"  I'm sorry. Mr. Stark, uh, Clint said you wouldn't mind, but, our tractor, it doesn't seem to want to start at all. I thought maybe you might..."," Yeah, I'll give her a kick.  Don't take from my pile.  Hello, Deere. Tell me everything. What ails you?"
 Do me a favor. Try not to bring it to life.," Ah, Mrs. Barton, you little minx. I get it, Maria Hill called you, right? Was she ever not working for you?"
 Artificial intelligence. You never even hesitated.," Look, it's been a really long day, like, Eugene O'Neill long, so how's about we skip to the part where you're useful?"
 Look me in the eye and tell me you're going to shut him down., You're not the director of me.
" I'm not the director of anybody. I'm just an old man, who cares very much about you."," And I'm the man who killed the Avengers. I saw it. I didn't tell the team, how could I? I saw them all dead, Nick. I felt it. The whole world, too. It's because of me. I wasn't ready. I didn't do all I could."
" The Maximoff girl, she's working you, Stark. Playing on your fear."," I wasn't tricked, I was shown. It wasn't a nightmare, it was my legacy. The end of the path I started us on."
" You've come up with some pretty impressive inventions, Tony. War isn't one of them."," I watched my friends die. You'd think that'd be as bad as it gets, right? Nope. Wasn't the worst part."
" Ah. He's easy to track, he's everywhere. Guy's multiplying faster than a Catholic rabbit. Still doesn't help us get an angle on any of his plans though.", He still going after launch codes?
" Yes, he is, but he's not making any headway.", I cracked the Pentagon's firewall in high school on a dare.
" He's fixated on the missiles, but the codes are constantly being changed.", By whom?
" Ultron's got an enemy, that's not the same thing. Still, I'd pay folding money to know who it is."," I might need to visit Oslo, find our ""unknown."""
 To become better. Better than us. He keeps building bodies.," Person bodies. The human form is inefficient, biologically speaking, we're outmoded. But he keeps coming back to it."
 I'll take Natasha and Clint.," Alright, strictly recon. I'll hit the NEXUS, I'll join you as soon as I can."
 If Ultron is really building a body..., He'll be more powerful than any of us. Maybe all of us. An android designed by a robot.
 I'll drop Banner off at the tower. Do you mind if I borrow Ms. Hill?," She's all yours, apparently."
" The men who enter that water, the legends don't end well."," A hacker who's faster than Ultron? He could be anywhere. And as this is the center of everything, I'm just a guy looking for a needle in the world's biggest haystack."
 How do you find it?," Pretty simple. You bring a magnet.  Oh, I'm decrypting nuclear codes and you don't want me to. Come and get me."
