name,line
Clint Barton," Okay, they're considered. Okay, we gotta go. [Vision is held in a force field, crackling and sparkling between the two arrows.] It's this way."
Wanda Maximoff, I've caused enough problems.
Clint Barton," [Frowning Clint runs back from the door.] You gotta help me, Wanda. Look, you wanna mope, can go to high school. You wanna make amends, you get off your ass. Shit. [Vision breaks the force field with his mind stone. He punches Clint to the floor, Clint recovers quickly.] I knew I should've stretched. [He extends a baton and tries to hit Vision, but the blows go through him. Clint resorts to punches, then tries the baton again. It breaks. Clint tries to kick Vision, but his leg goes right through him. Vision gets Clint in a headlock.]"
Vision," Clint, you can't overpower me."
Clint Barton, I know I can't. But she can.
Wanda Maximoff," Vision, that's enough. Let him go. I'm leaving."
Vision, I can't let you.
Wanda Maximoff," [She holds her hands apart, glowing with energy. Clint slips from Vision's grasp.] I'm sorry."
Vision, [He falters.] If you do this . . . they will never stop being afraid of you.
Wanda Maximoff," I can't control their fear, only my own. [She moves closer. Vision glows from within and crashes through the floor, and several floors beneath. Wanda and Clint stand over the holes in the floors.]"
Clint Barton, Oh . . . come on. We got one more stop.
Back at the Joint Counter Terrorist Centre,]
Attache," It's just a matter of time. Our satellites are running facial, bio-metric, and behavioral pattern scans."
Security Chief," [to Natasha who's standing in their way] Move, or you will be moved."
Challa, As entertaining as that would be . . .
Natasha Romanoff, You really think you can find him?
Challa, My resources are considerable.
Natasha Romanoff," Yeah, it took the world 70 years to find Barnes . . . so you could probably do that in about half the time."
Challa, You know where they are.
Natasha Romanoff, I know someone who does.
Under an overpass,]
Sharon Carter, Not sure you understand the concept of a getaway car.
Steve Rogers, It's low profile.
Sharon Carter," Good, because this stuff tends to draw a crowd. [She opens the trunk of her car, revealing Steve's and Sams's gear.]"
Bucky Barnes, [He sits behind Sam in the getaway car.] Can you move your seat up?
Sam Wilson, No.
Steve Rogers, I owe you again.
Sharon Carter," Keeping a list. [She glances at Bucky.] You know, he kinda tried to kill me."
Steve Rogers," Sorry. I'll put it on the list, too. They're going to come looking for you."
Sharon Carter, I know.
Steve Rogers," Thank you, Sharon."
Sharon Carter, That was . . .
Steve Rogers, Late.
Sharon Carter, Damn right. I should go.
Steve Rogers, Okay.
Clint Barton, Cap.
Steve Rogers, You know I wouldn't have called If I had any other choice.
Clint Barton," Hey man, you're doing me a favor. Besides, I owe a debt."
Steve Rogers, Thanks for having my back.
Wanda Maximoff, It was time to get off my ass.
Steve Rogers, How about our other recruit?
Clint Barton," He's rarin' to go. Had to put a little coffee in him, but… he should be good."
Scott Lang, What timezone is this?
Clint Barton, Come on. Come on.
Scott Lang, [Scott shakes Steve's hand with an amazed look.] Captain America.
Steve Rogers, Mr. Lang.
Scott Lang," It's an honor. I'm shaking your hand too long. Wow! This is awesome! Captain America. [He looks at Wanda.] I know you, too. You're great! [He turns back and feels Steve's shoulders.] Jeez. Ah, look, I wanna say, I know you know a lot of super people, so . . . thinks for thanking of me. [(sic!) To Sam.] Hey, man!"
Sam Wilson," What's up, Tic Tac?"
Scott Lang," Uh, good to see you. Look, what happened last time when I . . ."
Sam Wilson," It was a great audition, but it'll . . . it'll never happen again."
Steve Rogers, They tell you what we're up against?
Scott Lang, Something about some . . . psycho-assassins?
Steve Rogers," We're outside the law on this one. So, if you come with us, you're a wanted man."
Scott Lang," Yeah, well, what else is new?"
Bucky Barnes, We should get moving.
Clint Barton, We got a chopper lined up.
Bucky Barnes, They're evacuating the airport.
Sam Wilson, Stark.
Scott Lang, Stark?
Steve Rogers, Suit up.
Tony," Wow, it's so weird how you run into people at the airport. Don't you think that's weird?"
James Rhodes, Definitely weird.
Steve Rogers," Hear me out, Tony. That doctor, the psychiatrist, he's behind all of this."
Challa, [T'Challa leaps over a truck.] Captain.
Steve Rogers, Your highness.
Tony," Anyway, Ross gave me 36 hours to bring you in. That was 24 hours ago. Can you help a brother out?"
Steve Rogers, You're after the wrong guy.
Tony, Your judgment is askew. Your old war buddy killed innocent people yesterday.
Steve Rogers," And there are five more super soldiers just like him. I can't let the doctor find them first, Tony. I can't."
Natasha Romanoff, Steve . . . you know what's about to happen. Do you really wanna punch your way out of this one?
Tony," All right, I've run out of patience. Underoos! [Peter shoots a web, stealing Steve's shield and binding his hands.] Nice job, kid."
Peter Parker," Thanks. Well, I could've stuck the landing a little better. It's just the new suit… Well, it's nothing, Mr. Stark. It's--it's perfect. Thank you."
Tony," Yeah, we don't really need to start a conversation."
Peter Parker," Okay. Cap . . . Captain. Big fan, I'm Spider-Man."
Tony," Yeah, we'll talk about it later. Just . . ."
Peter Parker," Hey, everyone."
Tony, . . . Good job.
Steve Rogers, You've been busy.
Tony," And you've been a complete idiot. Dragging in Clint. 'Rescuing' Wanda from a place she doesn't even want to leave, a safe place. I'm trying to keep . . . I'm trying to keep you from tearing the Avengers apart."
Steve Rogers, You did that when you signed.
Tony," Alright, We're done. You're gonna turn Barnes over, you're gonna come with us. NOW! Because it's us! Or a squad of J-SOC guys . . . with no compunction about being impolite. [Steve looks aside.] Come on."
Sam Wilson," [He radios Steve.] We found it. Their Quinjet's in hanger five, north runway."
Steve Rogers," [Steve holds his hands up and Clint shoots the web off.] Alright, Lang."
Peter Parker," Hey, guys, something . . ."
James Rhodes, Whoa. What--what the hell was that?
Scott Lang," [He retrieves Steve's shield.] I believe this is yours, Captain America."
Tony," Oh, great. Alright, there's two on the parking deck. One of them's Maximoff, I'm gonna grab her. Rhodey, you want to take Cap?"
James Rhodes," Got two in the terminal, Wilson and Barnes."
Challa, Barnes is mine!
Peter Parker," Hey, Mr. Stark, what should I do?"
Tony, What we discussed. Keep your distance. Web 'em up.
Peter Parker," Okay, copy that!"
Challa," Move, Captain. I won't ask a second time."
Scott Lang," [He faces Natasha.] Look, I really don't want to hurt you."
Natasha Romanoff," I wouldn't stress about it. [She kicks him in the groin and he miniaturizes, throwing her head over heels. She zaps him off her wrist and he slams into a nearby truck, laving a small dent.]"
Bucky Barnes, [In the terminal.] What the hell is that?
Sam Wilson, Everyone's got a gimmick now.
Peter Parker," [Peter swings through the glass wall and kicks Sam backwards. Bucky throws a punch, Peter catches his fist.] You have a metal arm? That is awesome, dude! [Sam hits Peter.] You have the right to remain silent! [Mid-air Peter fends Sam off, then swings after him using his webs.]"
James Rhodes," Sorry, Cap. This won't kill you but it ain't gonna tickle either. [He smacks Steve's shield with a mace.]"
Tony," [Hovering above the ground.] Wanda, I think you hurt Vision's feelings."
Wanda Maximoff, You locked me in my room.
Tony," Okay. First, that's an exaggeration. Second, I did it to protect you. Hey, Clint."
Clint Barton," Hey, man."
Tony," Clearly, retirement doesn't suit you. You got tired of shooting golf?"
Clint Barton," Well, I played 18, I shot 18. Just can't seem to miss. [He fires an arrow which Tony deflects.]"
Tony, First time for everything.
Clint Barton, Made you look.
FRIDAY, Multiple contusions detected.
Tony," Yeah, I detected that too."
Peter Parker," Oh god. [Bucky throws something at him.] Hey buddy, I think you lost this! [Peter throws it back. Sam kicks him off the beam and Peter fires a web which sends Sam crashing to the floor. Peter webs Sam's wrist to a balcony railing.] Those wings carbon fiber?"
Sam Wilson, Is this stuff coming out of you?
Peter Parker," That would explain the rigidity-flexibility ratio, which, gotta say, that's awesome, man."
Sam Wilson, I don't know if you've been a fight before but there's usually not this much talking.
Peter Parker," Alright, sorry, my bad. [He swings down and Bucky jumps in the way. Bucky and Sam fall through the glass down onto the next floor and Peter webs them.] Guys, look. I'd love to keep this up but I've only got one job here today and I gotta impress Mr. Stark, so, l'm really sorry. [Redwing drags Peter through the glass wall.] Wwahhhh!"
Bucky Barnes, You couldn't have done that earlier?
Sam Wilson, I hate you.
James Rhodes, Great.
Scott Lang," Hey, Cap, heads up! [He throws Steve a miniature truck.] Throw it at this. Now! [Steve throws it and the truck enlarges, tumbling towards War Machine.]"
James Rhodes," Oh, come on! [The truck lands and explodes.]"
Scott Lang," Oh, man. I thought it was a water truck. Uh . . . sorry. [Scott and Steve run off.]"
James Rhodes," Alright. Now, I'm pissed."
Natasha Romanoff," [Tony helps her up.] Is this, part of the plan?"
Tony," Well, my plan was to go easy on them. You wanna switch it up?"
Clint Barton, [To Wanda as he spots the Quinjet.] There's our ride.
Steve Rogers, Come on!
Vision, Captain Rogers. I know you believe what you're doing is right. But for the collective good you must surrender now. [Tony's team arrives.]
Sam Wilson," What do we do, Cap?"
Steve Rogers, We fight.
Natasha Romanoff, This is gonna end well. [The two teams stride towards each other with grim determination etched on their faces.]
Peter Parker, They're not stopping.
Tony, Neither are we. [Everyone breaks into a sprint.]
Natasha Romanoff," We're still friends, right?"
Clint Barton," Depends on how hard you hit me. [She spins him with her legs. As she's about to kick his head, her foot stops and glows bright red. Wanda projects Natasha down.]"
Wanda Maximoff, You were pulling your punches. [Clint nods sheepishly.]
Bucky Barnes, [Bucky and T'Challa have each other by the throat.] I didn't kill your father.
Challa," Then why did you run? [T'Challa pulls Bucky's hand off his neck, then spins him and fly-kicks him backwards. He sprouts claws and aims for Bucky's neck, but Wanda stops his hand, then waves her arms and sends T'Challa crashing into a passenger gangway.]"
Peter Parker, That thing does not obey the laws of physics at all.
Steve Rogers, Look kid. There's a lot going on here that you don't understand.
Peter Parker," Mr. Stark said you'd say that. Wow. [he fires webs which stick to Steve's shield and ankle. He pulls and Steve slides towards him. Peter kicks him backwards, then rolls clear.] He also said to go for your legs. [As Steve runs to get his shield, Peter webs his hands and pulls. Steve grits his teeth, spins and somersaults, propelling Peter through the air.]"
Sam Wilson," [Evading fire from Iron Man.] Clint, can you get him off me?"
Clint Barton, Buckled in?
Scott Lang," Yeah. No, I'm good. I'm good, Arrow Guy. Let's go. Let's go! [Miniaturized Scott is on the tip of Clint's arrow. As he fires it, the head splits and Iron Man shoots the shards. Scott dives between Iron Man's splayed fingers and slips inside the Iron Man Suit at the shoulder joint.]"
Steve Rogers," [Steve catches a web and tugs Peter towards him, knocking him down with the shield. Peter recovers and pulls himself up on top of a gangway.] Stark tell you anything else?"
Peter Parker, That you're wrong. You think you're right. That makes you dangerous. [He swings down and Steve leaps to kick him backwards onto the gangway's leg.]
Steve Rogers," Guess he had a point. [He throws his shield at the leg and the gangway falls. Peter holds it up.] You got heart, kid. Where're you from?"
Peter Parker, Queens.
Steve Rogers, Brooklyn. [Steve leaves Peter holding the gangway.]
Tony, [Clint fires arrows at hovering Iron Man whose arm-lasers malfunction.] Friday?
FRIDAY, We have some weapon systems offline.
Tony, They what?
Scott Lang," Oh, you're gonna have to take this into the shop."
Tony, Who's speaking?
Scott Lang, It's your conscience. We don't talk a lot these days.
Tony, Friday?
FRIDAY, Deploying fire suppression system.
Scott Lang," Uh -oh. Oh boy. Whoa! [Inside the suit Scott sprints through narrow banks of components, chased by a rolling cloud of CO2. He's ejected from the suit.]"
Bucky Barnes, [To Steve.] We gotta go. That guy's probably in Siberia by now.
Steve Rogers, We gotta draw out the flyers. I'll take Vision. You get to the jet.
Sam Wilson," No, you get to the jet! Both of you! [Being chased by War Machine.] The rest of us aren't getting out of here."
Clint Barton," As much as I hate to admit it, if we're gonna win this one, some of us might have to lose it."
Sam Wilson," This isn't the real fight, Steve."
Steve Rogers," Alright, Sam, what's the play?"
Sam Wilson," We need a diversion, something big."
Scott Lang," I got something kind of big, but I can't hold it very long. On my signal, run like hell. And if I tear myself in half . . . don't come back for me."
Bucky Barnes, He's gonna tear himself in half?
Steve Rogers," You're sure about this, Scott?"
Scott Lang," I do it all the time. I mean once . . . in a lab. Then I passed out. I'm the boss. I'm the boss. I'm the boss. I'm the boss. I'm the BOSS! [He leaps from mobile stairs and lands on War Machine's back as he flies past. He operates his suit's wrist, shuts his eyes and activates a remote. Scott grows into a towering Behemoth and grabs War Machine's leg.]"
Peter Parker, Holy shit!
James Rhodes," Okay, tiny dude is big now. He's big now."
Steve Rogers, I guess that's the signal.
Sam Wilson," Way to go, Tic Tac!"
Tony, Give me back my Rhodey. [Sam flies feet first into Iron Man.]
Peter Parker, I got him! [Scott sends War Machine flying and Peter catches him with a web.]
Tony," Okay, anybody on our side hiding any shocking and fantastic abilities they'd like to disclose, I'm open to suggestion."
Scott Lang," You wanna get to them… you gotta go through me. [He sweeps his gigantic foot through the crates T'Challa's standing on, smashing them to pieces. Scott is engulfed in explosions as War Machine swoops towards him with Peter clinging to a web stuck to War Machine's back. He fires more webs and wraps them around Scott's over-sized arms.]"
Clint Barton, We haven't met yet. [He flattens his bow and spins it around.] I'm Clint.
Challa, I don't care. [Wielding the bow like a staff Clint attacks T'Challa who a acrobatically ducks then counters with a high kick.]
James Rhodes, Ahhh! [Wanda waves her hands flinging vehicles into War Machines path.]
Scott Lang," Get off. [Distracted by Peter Ant-Man doesn't spot Vision curling into a ball and ramming into him. Vision spots Steve and Bucky approaching the hangar as Ant-Man wavers. He simply floats through Ant-Man's chest. Something just flew in me! [Vision fires a shining beam of energy from his mind stone and the control tower collapses towards the entrance of the hangar. Wanda struggles to slow its collapse. Then War Machine descends behind her fires a sonic disruptor. Wanda holds her head and screams. The tower falls all around Steve and Bucky, but they make it into the hangar where Natasha is waiting for them.]"
Natasha Romanoff, You're not gonna stop.
Steve Rogers, You know I can't.
Natasha Romanoff, I'm gonna regret this. [She stuns T'Challa who's arrived behind them.] Go. [Steve and Bucky run for the Quinjet as she keeps T'Challa at bay.]
Peter Parker," [Outside] Hey, guys, you ever see that really old movie, Empire Strikes Back?"
James Rhodes," Jesus, Tony, how old is this guy?"
Tony," I don't know, I didn't carbon-date him. He's on the young side."
Peter Parker, [He swings towards Ant-Man.] You know that part . . . where they're on the snow planet . . . with the walking thingies? [He wraps webs around Scott's legs.]
Tony, Maybe the kid's on to something.
James Rhodes," High now, Tony. Go high."
Peter Parker," [He swings around and around Ant-Man's legs as Iron Man and War Machine power towards his head, both landing blows together.] YES! Ha ha! That was awesome! [Giant Ant-Man topples. A flailing limb catching Peter and knocking him flying just before Scott slams into the ground on his back. He returns to normal size and removes the face-plate of his helmet, grimacing.]"
Scott Lang, Does anyone have any orange slices?
Tony," [He lands by Peter who's in a heap. Retracting the helmet Tony looks concerned.] Kid, you alright?"
Peter Parker, Hey! Get off me!
Tony, Same side. Guess who. Hi. It's me.
Peter Parker," Oh. Hey, man."
Tony, Yeah.
Peter Parker, That was scary.
Tony, Yeah. You're done. Alright?
Peter Parker, What?
Tony, You did a good job. Stay down.
Peter Parker," No, I'm good. I'm fine."
Tony, Stay down.
Peter Parker," No, it's good I gotta get him back!"
Tony, You're going home or I'll call Aunt May! You're done!
Peter Parker," Wait. Mr. Stark, wait! I'm not done, I'm not . . . [He slumps down.] Okay, I'm done. I'm done."
Natasha Romanoff," [In the partially wrecked hangar the Quinjet's engines fire and the guns blast debris from the entrance. Natasha keeps T'Challa held until the jet rises. Black Panther leaps, but can't keep hold and the Quinjet flies out of the hangar. War Machine flies after it. In the hangar:] I said I'd help you find him, not catch him. There's a difference."
Vision, [Outside Vision kneels beside Wanda and gently holds her in his arms. She pants for breath.] I'm sorry.
Wanda Maximoff," Me, too."
Vision, It's as I said. Catastrophe.
James Rhodes," Vision, I got a bandit on my six. [Falcon fires small explosives which erupt and buffet War Machine.] Vision! You copy? Target his thrusters, turn him into a glider."
Tony, Rhodey! [Iron Man and Falcon dive.]
James Rhodes," Tony, I'm flying dead stick. [As he plunges the suit emits black smoke. Iron Man swoops down towards him. Rhodes' eyes start to close.]"
Tony," RHODES! [Mar Machine smacks into a wide, grassy field just before Iron Man lands nearby. His helmet retracts and he pulls off War Machine's face plate. Rhodes' eyes are closed and there's blood on his face.] Read vitals."
FRIDAY, Heartbeat detected. Emergency medical is on its way.
Sam Wilson, [He swoops down and lands on his feet. His wings retract.] I'm sorry. [Tony zaps Falcon backwards with a blast of energy from the palm of his suit. Vision glides to the ground just in front of Falcon. Stony faced Tony remains with his arms around War Machine.]
German Innkeeper," Guten Morgen, Zimmerservice? (Good morning. Room service.)"
Helmut Zemo," Guten Morgen Frau Leiber. Zimmer 201 hier (Good morning, Mrs. Leiber. [subtitled] This is room 201.)"
German Innkeeper," Ah, Herr Müller. Speck und schwarzer Kaffee für Sie, ja? (Ah, Mr. Müller. [subtitled] Bacon and black coffee again today?)"
Helmut Zemo, Wie gut Sie mich kennen. ([subtitled] You know me so well.)
German Innkeeper, Hallo? Ihr Frühstück ist hier. Darf ich mich reinlassen? Herr Müller? Herr Müller? Oh mein Gott! ([subtitled] Hello? Your breakfast is here. May I let myself in? Mr Müller? Mr Müller? Oh God!) [She comes in and discovers the dead body of Dr. Theo Broussard in the bathtub.]
Bucky Barnes, What's gonna happen to your friends?
Steve Rogers," [Steve stares ahead, heavyhearted. He sighs and shakes his head.] Whatever it is… I'll deal with it."
Bucky Barnes," [He looks thoughtful.] I don't know if I'm worth all this, Steve."
Steve Rogers, [He glances around at Bucky.] What you did all those years . . . it wasn't you. You didn't have a choice.
Bucky Barnes, I know. But I did it.
Tony, How did this happen?
Vision, I became distracted.
Tony, I didn't think that was possible.
Vision, Neither did I. [Tony leaves Vision looking in on Rhodes. Along the corridor Tony spots an equally concerned Natasha.]
Tony, The doctors say he shattered L4 through S1. Extreme laceration in the spinal cord. Probably looking at some form of paralysis.
Natasha Romanoff," Steve's not gonna stop. If you don't either, Rhodey's gonna be the best case scenario."
Tony," You let them go, Nat."
Natasha Romanoff, We played this wrong.
Tony," 'We'? Boy, it must be hard to shake the whole double agent thing, huh? It sticks in the DNA."
Natasha Romanoff, Are you incapable of letting go of your ego for one goddamn second?
Tony," T'Challa told Ross what you did, so . . . they're coming for you."
Natasha Romanoff, I'm not the one that needs to watch their back. [She walks away.]
Tony," [He activates holographic images appearing on his wrist device.] What am I looking at, Friday?"
FRIDAY, Priority upload from Berlin police.
Tony, Fire up the chopper.
FRIDAY, The Task Force called for a psychiatrist as soon as Barnes was captured. The UN dispatched Dr. Theo Broussard from Geneva within the hour. He was met by this man.
Tony, Did you run facial recognition yet?
FRIDAY, What do I look like?
Tony," Uh, I don't know. I've been picturing a red head."
FRIDAY, You must be thinking of someone else.
Tony, Must be.
FRIDAY," The fake doctor is actually Colonel Helmut Zemo, Sokovian Intelligence. [Tony projects the image.] Zemo ran Echo Skorpion, a Sokovian covert kill squad."
Tony," So, what happened to the real Broussard?"
FRIDAY, He was found dead in a Berlin hotel room. Where police also found a wig and facial prosthesis approximating the appearance of one James Buchanan Barnes.
Tony, Son of a bitch. Get this to Ross.
FRIDAY," Yes, Boss."
 he climbs up the ladder and removes a filing box labeled, 'декабря 1991' (December 1991).
Guard," [on radio] This is the Raft Prison Control. You're clear for landing, Mr. Stark."
Tony," So? You got the files? Let's reroute the satellites, start facial scanning for this Zemo guy."
Secretary Ross," You seriously think I'm gonna listen to you after that fiasco in Leipzig? You're lucky you're not in one of these cells. [Ross looks at Tony sternly and leads on through a thick, steel security door. Soldiers stand guard in an operations room. Tony looks at a surveillance screen. it shows Wanda, sitting hunched and bedraggled in a cramped prison cell.]"
Clint Barton," [clapping] The Futurist, gentlemen! The Futurist is here! He sees all! He knows what's best for you, whether your like it or not."
Tony," Give me a break, Barton. I had no idea they'll put you here. Come on."
Clint Barton," [spits] Yeah, well, you knew they'd put us somewhere, Tony."
Tony," Yeah, but not some super-max floating ocean pokey. You know, this place is for maniacs. This is a place for . . ."
Clint Barton," Criminals? [He stands up.] Criminals, Tony. Think that's the word you're looking for. [He eyes Tony through the bars.] Right? That didn't used to mean me. Or Sam, or Wanda. But here we are."
Tony, Because you broke the law.
Clint Barton, Yeah.
Tony, I didn't make you.
Clint Barton," La, la, la, la, la . . ."
Tony," You read it, you broke it."
Clint Barton," La, la, la, la la…"
Tony," Alright, you're all grown up, you got a wife and kids. I don't understand, why didn't you think about them before you chose the wrong side? [He walks away.]"
Clint Barton, You gotta watch your back with this guy. There's a chance he's gonna break it.
Scott Lang," Hank Pym always said, you never can trust a Stark."
Tony, Who are you?
Scott Lang," Come on, man."
Sam Wilson, How's Rhodes?
Tony, They're flying him to Columbia Medical tomorrow. So . . . fingers cross. [Sam shakes his head.]What do you need? They feed you yet?
Sam Wilson, [He raises his eyebrows.] You're the good cop now?
Tony, I'm just the guy who needs to know where Steve went.
Sam Wilson," Well, you better go get a bad cop, because you're gonna have to go Mark Fuhrman on my ass to get information out of me."
Tony," Oh, I just knocked the 'A' out of their 'AV'. We got about 30 seconds before they realize it's not their equipment."
Secretary Ross, [In the operations room.] What did you do? Get it back up!
Tony," [Back in the cell.] Just look. Because that is the fellow who was supposed to interrogate Barnes. [He shoes a holographic image of Doctor Broussard.] Clearly, I made a mistake. Sam, I was wrong."
Sam Wilson, That's a first.
Tony, Cap is definitely off the reservation but he's about to need all the help he can get. We don't know each other very well. You don't have to…
Sam Wilson," Hey, it's alright. [Tony leans closer to the window. Sam sighs and looks uneasy.] Look, I'll tell you… but you have to go alone and as a friend."
Tony, Easy.
Secretary Ross, Stark? Did he give you anything on Rogers?
Tony," Nope. Told me to go to hell. I'm going back to the compound instead, but you can call me anytime. I'll put you on hold, I like to watch the line blink. [Ross stares at Tony who smiles as he gets in the chopper and the door slides shut. The chopper rises off the helipad and flies away. The doors close on the prison roof.]"
Steve Rogers, You remember that time we had to ride back from Rockaway Beach in the back of that freezer truck?
Bucky Barnes, Was that the time we used our train money to buy hot dogs?
Steve Rogers, You blew three bucks trying to win that stuffed bear for a redhead.
Bucky Barnes, What was her name again?
Steve Rogers, Dolores. You called her Doll.
Bucky Barnes, She's gotta be a hundred years old right now.
Steve Rogers," So are we, pal. [He clamps his hand on Bucky's shoulder.]"
Steve Rogers, He can't have been here more than a few hours.
Bucky Barnes, Long enough to wake them up.
Steve Rogers, You ready?
Bucky Barnes, Yeah.
Tony, You seem a little defensive.
Steve Rogers, It's been a long day.
Tony," At ease, Soldier. I'm not currently after you."
Steve Rogers, Then why are you here?
Tony," Could be your story's not so crazy. Maybe. Ross has no idea I'm here. I'd like to keep it that way. Otherwise, I gotta arrest myself."
Steve Rogers," Well, that sounds like a lot of paperwork. [He lowers his shield.] It's good to see you, Tony."
Tony," You too, Cap. [to Bucky] Hey, Manchurian Candidate, you're killing me. There's a truce here. You can drop . . . [Steve signs Bucky to lower his weapon and he does.]"
Tony, I got heat signatures.
Steve Rogers, How many?
Tony," Uh, one."
Helmut Zemo," [on speaker] If it's any comfort, they died in their sleep. [All of the enhanced soldiers have been shot in the head. Bucky stares at Josef's corpse.] Did you really think I wanted more of you?"
Bucky Barnes, What the hell?
Helmut Zemo," I'm grateful to them, though. They brought you here. [Zemo appears in a control room. Steve hurls his shield but it flies back.] Please, Captain. The Soviets built this chamber to withstand the launch blast of UR-100 rockets."
Tony, I'm betting I could beat that.
Helmut Zemo," Oh, I'm sure you could, Mr. Stark. Given time. But then you'd never know why you came."
Steve Rogers, You killed innocent people in Vienna just to bring us here? [Black Panther watches from the shadows. Steve looks at Zemo through a window.]
Helmut Zemo," I thought about nothing else for over a year. I studied you. I followed you. But now that you're standing here, I just realized . . . there's a bit of green in the blue of your eyes. How nice to find a flaw."
Steve Rogers, You're Sokovian. Is that what this is about?
Helmut Zemo, Sokovia was a failed state long before you blew it to hell. No. I'm here because I made a promise.
Steve Rogers, [He studies Zemo.] You lost someone?
Helmut Zemo," [He looks grave, clicks his tongue.] I lost everyone. And so will you. [He plays surveillance footage from December 16th 1991. Steve steps over to the screen.] An empire toppled by its enemies can rise again. But one which crumples from within? That's dead . . . forever."
Tony," [He looks at the freeze frame of a secluded road and the date, December 16 1991. His eyes rove, anxiously.] I know that road. What is this?"
Howard Stark, Help my wife. Please. Help.
Howard Stark, Sergeant Barnes?
Maria Stark, Howard!
Maria Stark, Howard!
Steve Rogers, Tony. Tony.
Tony, [Consumed with grief and tears glistening in his eyes he turns and looks at Steve.] Did you know?
Steve Rogers, I didn't know it was him.
Tony," Don't bullshit me, Rogers! Did you know?"
Steve Rogers, Yes.
Steve Rogers, [to Bucky] Get out of here!
Steve Rogers," It wasn't him, Tony. Hydra had control of his mind!"
Tony, Move!
Steve Rogers, It wasn't him!
FRIDAY, Left boot jet failing. Flight systems compromised.
Tony, Ah crap.
Steve Rogers, He's not going to stop. Go.
Tony," Come on, come on."
FRIDAY," Targeting system's knackered, boss."
Tony," I'm eyeballing it. [His helmet retracts and he shuts one eye, taking aim at the opening hatch. He fires and hits the giant hinge which explodes, cutting of Bucky's escape route. He flies up, blocks two swings from an iron pipe from Bucky, then grabs him around the neck from behind.] Do you even remember them?"
Bucky Barnes, I remember all of them.
Steve Rogers, This isn't gonna change what happened.
Tony, I don't care. He killed my mom.
s Wife," You should've seen his little face. Just try, okay? I'm going to bed. I love you."
Challa, [Sneaks up behind him] I almost kill the wrong man.
Helmut Zemo, Hardly an innocent one.
Challa, This is all you wanted? To see them rip each other apart.
Helmut Zemo," [Deletes the voice message] My father lived outside the city. I thought we would be safe there. My son was excited. He could see the Iron Man from the car window. I told my wife, ""Don't worry. They are fighting in the city. We're miles from harm."" When the dust cleared . . . and the screaming stopped. It took me two days until I found their bodies. My father . . . still holding my wife and son in his arms. And the Avengers? They went home. I knew I couldn't kill them. More powerful men than me have tried. But, if I could get them to kill each other . . . I'm sorry about your father. He seemed a good man. With a dutiful son."
Challa, Vengeance has consumed you. It's consuming them. [He blinks ruefully and retracts the claws in his gloves.] I am done letting it consume me. Justice will come soon enough.
Helmut Zemo, [Holding a gun Zemo smiles thinly.] Tell that to the dead. [He tries to shoot himself but T'Challa grabs him just as he fires.]
Challa, The living are not done with you yet.
FRIDAY, You can't beat him hand to hand.
Tony, Analyse his fight pattern.
FRIDAY, Scanning! [Iron Man's HUD flashes red as Steve lands blow after blow.] Countermeasures ready.
Tony," [He grabs Captain America's shield.] Let's kick his ass. [He flings the shield away then zaps Steve backwards, head over heels. Steve rises and Tony blocks his punches then zaps him to his knees, right in front of Bucky who's lying on his back.]"
Steve Rogers, He's my friend.
Tony, So was I. [He punches Steve then throws him back towards the gaps in the wall.] Stay down. Final warning.
Steve Rogers," [He struggles to his feet, his face bloody and his gate weary. He raises his fists and stares Iron Man down.] I can do this all day."
Tony," That shield doesn't belong to you. [Steve turns his back.] You don't deserve it. My father made that shield! [Steve stops, raises his chin, then drops the shield and walks away with Bucky's arm around his shoulder.]"
Everett Ross," Meals at eight and five. Toilet privileges twice a day. Raise your voice, zap. Touch the glass, zap. You step out of line, you deal with me. Please, step out of line. Hmm? [Zemo just stares.] So how does it feel? To spend all that time, all that effort . . . and, to see it fail so spectacularly?"
Helmut Zemo, [He looks up to meet Everett's gaze.] Did it?
Tony, It's just the first pass.
James Rhodes, Yeah.
Tony, Give me some feedback. Anything you can think of. Shock absorption. Lateral movement. Cup holder?
James Rhodes, You may wanna think about some AC down in . . . [He falls onto his hands.]
Tony, Let's go. I'll give you a hand.
James Rhodes," No, no, don't. Don't help me. Don't help me. [He rises to his hands and knees, turns to sit on the floor beside Tony.] 138. 138 combat missions. That's how many I've flown, Tony. Every one of them could've been my last, but I flew 'em. Because the fight needed to be fought. It's the same with these Accords. I signed because it was the right thing to do. And, yeah, this sucks. This is . . . this is a bad beat. But it hasn't change my mind. I don't think. [He gives a crooked smile and takes Tony's hand.]"
Tony, You okay?
James Rhodes, Oh yeah.
FedEx Driver Stan Lee," [Knocks on the window with a packet in his hand.] Are you Tony ""Stank""?"
James Rhodes," Yes, this is--this is Tony ""Stank"". You're in the right place. Thank you for that! I'm never dropping that, by the way. Table for one, Mr. ""Stank"". Please, by the bathroom."
